ProductArticle;ProductName;ProductUnit;ProductCost;ProductMaxSale;ProductManufacture;ProductSypplier;ProductCategory;ProductNowSale;ProductCountWH;ProductDesk;ProductImage
А112Т4;Ботинки;1;4990;30;Kari;1;2;3;6;Женские Ботинки демисезонные kari;А112Т4.jpg
F635R4;Ботинки;1;3244;20;Marco Tozzi;2;2;2;13;Ботинки Marco Tozzi женские демисезонные, размер 39, цвет бежевый;F635R4.jpg
H782T5;Туфли;1;4499;30;Kari;1;1;4;5;Туфли kari мужские классика MYZ21AW-450A, размер 43, цвет: черный;H782T5.jpg
G783F5;Ботинки;1;5900;25;Рос;1;1;2;8;Мужские ботинки Рос-Обувь кожаные с натуральным мехом;G783F5.jpg
J384T6;Ботинки;1;3800;10;Rieker;2;1;2;16;B3430/14 Полуботинки мужские Rieker;J384T6.jpg
D572U8;Кроссовки;1;4100;5;Рос;2;1;3;6;129615-4 Кроссовки мужские;D572U8.jpg
F572H7;Туфли;1;2700;15;Marco Tozzi;1;2;2;14;Туфли Marco Tozzi женские летние, размер 39, цвет черный;F572H7.jpg
D329H3;Полуботинки;1;1890;10;Alessio Nesca;2;2;4;4;Полуботинки Alessio Nesca женские 3-30797-47, размер 37, цвет: бордовый;D329H3.jpg
B320R5;Туфли;1;4300;15;Rieker;1;2;2;6;Туфли Rieker женские демисезонные, размер 41, цвет коричневый;B320R5.jpg
G432E4;Туфли;1;2800;10;Kari;1;2;3;15;Туфли kari женские TR-YR-413017, размер 37, цвет: черный;G432E4.jpg
S213E3;Полуботинки;1;2156;5;CROSBY;2;1;3;6;407700/01-01 Полуботинки мужские CROSBY;line.jpg
E482R4;Полуботинки;1;1800;15;Kari;1;2;2;14;Полуботинки kari женские MYZ20S-149, размер 41, цвет: черный;line.jpg
S634B5;Кеды;1;5500;20;CROSBY;2;1;3;6;Кеды Caprice мужские демисезонные, размер 42, цвет черный;line.jpg
K345R4;Полуботинки;1;2100;15;CROSBY;2;1;2;3;407700/01-02 Полуботинки мужские CROSBY;line.jpg
O754F4;Туфли;1;5400;10;Rieker;2;2;4;18;Туфли женские демисезонные Rieker артикул 55073-68/37;line.jpg
G531F4;Ботинки;1;6600;5;Kari;1;2;2;9;Ботинки женские зимние ROMER арт. 893167-01 Черный;line.jpg
J542F5;Тапочки;1;500;5;Kari;1;1;3;12;Тапочки мужские Арт.70701-55-67син р.41;line.jpg
B431R5;Ботинки;1;2700;10;Rieker;2;1;2;5;Мужские кожаные ботинки/мужские ботинки;line.jpg
P764G4;Туфли;1;6800;30;CROSBY;1;2;3;15;Туфли женские, ARGO, размер 38;line.jpg
C436G5;Ботинки;1;10200;15;Alessio Nesca;1;2;2;9;Ботинки женские, ARGO, размер 40;line.jpg
F427R5;Ботинки;1;11800;10;Rieker;2;2;4;11;Ботинки на молнии с декоративной пряжкой FRAU;line.jpg
N457T5;Полуботинки;1;4600;5;CROSBY;1;2;3;13;Полуботинки Ботинки черные зимние, мех;line.jpg
D364R4;Туфли;1;12400;10;Kari;1;2;2;5;Туфли Luiza Belly женские Kate-lazo черные из натуральной замши;line.jpg
S326R5;Тапочки;1;9900;15;CROSBY;2;1;3;15;Мужские кожаные тапочки Профиль С.Дали;line.jpg
L754R4;Полуботинки;1;1700;10;Kari;1;2;2;7;Полуботинки kari женские WB2020SS-26, размер 38, цвет: черный;line.jpg
M542T5;Кроссовки;1;2800;5;Rieker;2;1;5;3;Кроссовки мужские TOFA;line.jpg
D268G5;Туфли;1;4399;10;Rieker;2;2;3;12;Туфли Rieker женские демисезонные, размер 36, цвет коричневый;line.jpg
T324F5;Сапоги;1;4699;15;CROSBY;1;2;2;5;Сапоги замша Цвет: синий;line.jpg
K358H6;Тапочки;1;599;5;Rieker;1;1;3;2;Тапочки мужские син р.41;line.jpg
H535R5;Ботинки;1;2300;25;Rieker;2;2;2;7;Женские Ботинки демисезонные;line.jpg
