id;nn;;;;
1;344288, г. Москва, ул. Чехова, 1;;;;
2;614164, г.Москва,  ул. Степная, 30;;;;
3;394242, г. Москва, ул. Коммунистическая, 43;;;;
4;660540, г. Москва, ул. Солнечная, 25;;;;
5;125837, г. Москва, ул. Шоссейная, 40;;;;
6;125703, г. Москва, ул. Партизанская, 49;;;;
7;625283, г. Москва, ул. Победы, 46;;;;
8;614611, г. Москва, ул. Молодежная, 50;;;;
9;454311, г.Москва, ул. Новая, 19;;;;
10;660007, г.Москва, ул. Октябрьская, 19;;;;
11;603036, г. Москва, ул. Садовая, 4;;;;
12;450983, г.Москва, ул. Комсомольская, 26;;;;
13;394782, г. Москва, ул. Чехова, 3;;;;
14;603002, г. Москва, ул. Дзержинского, 28;;;;
15;450558, г. Москва, ул. Набережная, 30;;;;
16;394060, г.Москва, ул. Фрунзе, 43;;;;
17;410661, г. Москва, ул. Школьная, 50;;;;
18;625590, г. Москва, ул. Коммунистическая, 20;;;;
19;625683, г. Москва, ул. 8 Марта;;;;
20;400562, г. Москва, ул. Зеленая, 32;;;;
21;614510, г. Москва, ул. Маяковского, 47;;;;
22;410542, г. Москва, ул. Светлая, 46;;;;
23;620839, г. Москва, ул. Цветочная, 8;;;;
24;443890, г. Москва, ул. Коммунистическая, 1;;;;
25;603379, г. Москва, ул. Спортивная, 46;;;;
26;603721, г. Москва, ул. Гоголя, 41;;;;
27;410172, г. Москва, ул. Северная, 13;;;;
28;420151, г. Москва, ул. Вишневая, 32;;;;
29;125061, г. Москва, ул. Подгорная, 8;;;;
30;630370, г. Москва, ул. Шоссейная, 24;;;;
31;614753, г. Москва, ул. Полевая, 35;;;;
32;426030, г. Москва, ул. Маяковского, 44;;;;
33;450375, г. Москва ул. Клубная, 44;;;;
34;625560, г. Москва, ул. Некрасова, 12;;;;
35;630201, г. Москва, ул. Комсомольская, 17;;;;
;;;;36;190949, г. Москва, ул. Мичурина, 26
